Drill Listing
=============
Drill: .00984  Tool: 1  Feed: 0  Speed: 0
X 1976912  Y 1581097
X 1978988  Y 1581141
X 1981127  Y 1581158
X 1984485  Y 1581159
X 1988863  Y 1581253
X 1974835  Y 1581367
X 1986495  Y 1582085
X 1982710  Y 1582510
X 1974837  Y 1583445
X 1977284  Y 1583805
X 1986923  Y 1584153
X 1982649  Y 1584767
X 1974891  Y 1586007
X 1998279  Y 1586048
X 1996279  Y 1587173
X 1984154  Y 1587923
X 1994993  Y 1589073
X 1992889  Y 1589074
X 1974900  Y 1589376
X 1991278  Y 1590473
X 1995493  Y 1593173
X 1976463  Y 1593213
X 1988843  Y 1593333
X 1997558  Y 1595203
X 1986043  Y 1596623
X 1975047  Y 1597028
X 1995573  Y 1597327
X 1983923  Y 1598173
X 1974873  Y 1599213
X 1995743  Y 1601867
X 1990973  Y 1601867
X 1999313  Y 1601867
X 1974923  Y 1601873
X 1985993  Y 1602023
X 1975433  Y 1604303
X 1988458  Y 1604803
X 1995578  Y 1605663
X 1976533  Y 1606323
X 1974873  Y 1607873
X 1992213  Y 1608393
X 1976543  Y 1609413
X 1975213  Y 1611633
X 1977253  Y 1612543
X 1989093  Y 1614183
X 1982793  Y 1614283
X 1977613  Y 1614763
X 1997823  Y 1617323
X 1977153  Y 1619073
X 1974823  Y 1619183
X 1983553  Y 1619203
X 1981503  Y 1619203
X 1997405  Y 1619510
X 1988826  Y 1619984
X 1990578  Y 1621490
X 1997165  Y 1621852
X 1977983  Y 1622033
X 1985524  Y 1622042
X 1983067  Y 1622058
X 1988110  Y 1622267
X 1980577  Y 1622395
X 1995912  Y 1623885
X 1990553  Y 1624263
X 1988222  Y 1624435
X 1998331  Y 1624518
X 1975703  Y 1625203
X 1985553  Y 1626023
X 1989133  Y 1626434
X 1995976  Y 1627231
X 1998684  Y 1627664
X 1974890  Y 1627680
X 1997647  Y 1629832
X 1974703  Y 1629863
X 1994836  Y 1629916
X 1990452  Y 1631803
X 1987106  Y 1632007
X 2022682  Y 1629902
X 2000552  Y 1629772
X 2003703  Y 1629553
X 2015203  Y 1627853
X 2011923  Y 1627653
X 2002063  Y 1627533
X 2005983  Y 1626503
X 2009193  Y 1626353
X 2017603  Y 1625603
X 2000779  Y 1625525
X 2022823  Y 1625197
X 2004543  Y 1624843
X 2019753  Y 1623503
X 2000519  Y 1623320
X 2022553  Y 1621853
X 2005033  Y 1621443
X 2022803  Y 1619403
X 2005040  Y 1619039
X 1999903  Y 1618503
X 2022603  Y 1617153
X 2011153  Y 1614303
X 2009003  Y 1614103
X 2018206  Y 1613072
X 2012845  Y 1612678
X 2016096  Y 1612253
X 2009003  Y 1612003
X 2022183  Y 1611913
X 2022653  Y 1608603
X 2002043  Y 1608393
X 2012503  Y 1607803
X 2020703  Y 1607053
X 2009203  Y 1602773
X 2021303  Y 1602403
X 2018203  Y 1602103
X 2004233  Y 1601867
X 2010313  Y 1601003
X 2012013  Y 1599463
X 2002083  Y 1599167
X 2010078  Y 1597553
X 2005633  Y 1593373
X 2000218  Y 1592613
X 2021353  Y 1592453
X 2003163  Y 1590693
X 2022793  Y 1589573
X 2000343  Y 1587973
X 2009343  Y 1587623
X 2018303  Y 1586493
X 2022493  Y 1586473
X 2006243  Y 1585353
X 2016733  Y 1583513
X 2022693  Y 1583363
X 2013533  Y 1582913
X 2015313  Y 1581803
X 2010783  Y 1581243
X 2008603  Y 1581183
X 2022483  Y 1581143
X 2019173  Y 1581123
X 2005323  Y 1581023

End of Listing
