Altium Designer Pick and Place Locations
C:\applications\hardware\pca10171\trunk\production_files\400797_pick_and_place.csv

========================================================================================================================
File Design Information:

Date:       26/11/24
Time:       16:51
Revision:   35565
Variant:    Release
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"FB5","0R","TopLayer","RESC2012X11L","21.7271","10.8219","270","Resistor, ±5%, 0.125W"
"C70","100nF","TopLayer","CAPC1608X06L","23.1937","10.8736","270","Chip Cap 0603"
"C66","1.0nF","TopLayer","CAPC0603X03L_C","18.0121","13.4969","180","Capacitor, X7R, ±10%, 25V"
"C65","1.0nF","TopLayer","CAPC0603X03L_C","18.0121","14.2969","180","Capacitor, X7R, ±10%, 25V"
"C64","1.0µF","TopLayer","CAPC1005X04L","8.6000","12.3000","0","Capacitor, Ceramic, X5R, ±10%, 10V"
"C62","100nF","TopLayer","CAPC0603X03L_C","13.8250","17.9750","0","Capacitor, X5R, ±10%"
"C57","10µF","TopLayer","CAPC1608X06L","7.1271","15.5719","270","Capacitor, X7T, ±20%, 10V"
"C54","1.0µF","TopLayer","CAPC1608X06L","7.1271","12.9219","90","Capacitor, Ceramic, 1.0µF 10V X5R 0603,±10%"
"R87","0R","TopLayer","RESC0603X03L_C","12.5373","10.8003","0","Resistor, ±5%, 0.05W"
"C59","10µF","TopLayer","CAPC1608X06L","16.8271","17.9093","90","Capacitor, X7T, ±20%, 10V"
"C56","10µF","TopLayer","CAPC1608X06L","16.8271","15.1719","270","Capacitor, X7T, ±20%, 10V"
"C55","10µF","TopLayer","CAPC1608X06L","16.8271","12.6219","90","Capacitor, X7T, ±20%, 10V"
"C60","10µF","TopLayer","CAPC1608X06L","16.1500","10.7000","180","Capacitor, X7T, ±20%, 10V"
"U9","nPM1300-QEAA","TopLayer","Nordic_QFN50P500X500X90-33N","12.5250","14.1750","180","Li-Ion/Li-Polymer USB-C battery charger with high efficiency buck regulators, LDOs or load switches, LED drivers, TWI and VBUSOUT"
"TP21","Ø1.5mm,SMD","TopLayer","TP_SMD_D1.5mm","19.8500","10.2500","270","1.5mm circular SMD testpad"
"R37","150k","TopLayer","RESC0603X03L_C","10.7689","18.1073","90","Resistor, ±1%, 0.05W"
"R36","47k","TopLayer","RESC0603X03L_C","10.2000","18.1000","90","Resistor, ±1%, 0.05W"
"R84","4k7","TopLayer","RESC0603X03L_C","11.7369","18.2172","90","Resistor, ±1%, 0.05W"
"R83","4k7","TopLayer","RESC0603X03L_C","12.3369","18.2172","90","Resistor, ±1%, 0.05W"
"L8","2.2µH","TopLayer","INDC2016X10N","18.6250","16.2750","270","Inductor, Irms=2.5A, Isat=2.9A, ±20%, DCR=73mO"
"L7","2.2µH","TopLayer","INDC2016X10N","19.1121","11.9969","180","Inductor, Irms=2.5A, Isat=2.9A, ±20%, DCR=73mO"
"FB6","0R","TopLayer","RESC2012X11L","20.7000","16.1000","270","Resistor, ±5%, 0.125W"
"FB4","0R","TopLayer","RESC2012X11L","8.5270","15.5719","90","Resistor, ±5%, 0.125W"
"C72","100nF","TopLayer","CAPC1608X06L","19.8521","13.9969","0","Chip Cap 0603"
"C67","1.0nF","TopLayer","CAPC0603X03L_C","6.3271","15.0819","270","Capacitor, X7R, ±10%, 25V"
