Altium Designer Pick and Place Locations
B:\Applications\hardware\pca10201\trunk\production_files\400926_pick_and_place.csv

========================================================================================================================
File Design Information:

Date:       11.08.25
Time:       12:47
Revision:   38732
Variant:    Release
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"LOGO2","Segger Logo S","BottomLayer","SEGGER_LOGO_S","-61.9823","-77.1176","270","Segger logo, small size"
"LOGO1","WEE Symbol","BottomLayer","WEEE_3x4.5mm","-61.9823","-77.1176","270","WEEE Directive symbol"
"J2","SMA Edge","TopLayer","CONSMA024-G","142.5000","44.9490","270","SMA Jack, Female, 50 Ohm, Board Edge, Cutout, SMT"
"J1","SMA Edge","TopLayer","CONSMA024-G","142.5000","18.5560","270","SMA Jack, Female, 50 Ohm, Board Edge, Cutout, SMT"
"C11","39pF","TopLayer","CAPC0603X03L_C","133.0300","32.6790","0","Capacitor, NP0, ±1%, 25V"
"C12","39pF","TopLayer","CAPC0603X03L_C","135.2800","29.4790","270","Capacitor, NP0, ±1%, 25V"
"L3","68nH","TopLayer","INDC1005X04L_WW","134.6300","32.6790","0","Inductor, 140mA, ±2%, 1960mO, Q=20"
"C19","N.C.","TopLayer","CAPC0603X03L_C_NC","133.0300","30.8790","0","Not mounted"
"L4","N.C.","TopLayer","INDC1005X04L_NC","134.6300","30.8790","180","Not mounted"
"FB5","0R","TopLayer","RESC2012X11L","21.7270","10.8209","270","Resistor, ±5%, 0.125W"
"C70","100nF","TopLayer","CAPC1608X06L","23.1936","10.8725","270","Chip Cap 0603"
"C69","N.C.","TopLayer","CAPC1608X06L_NC","22.1020","12.8959","180","Not mounted"
"C66","1.0nF","TopLayer","CAPC0603X03L_C","18.0120","13.4959","180","Capacitor, X7R, ±10%, 25V"
"C65","1.0nF","TopLayer","CAPC0603X03L_C","18.0120","14.2959","180","Capacitor, X7R, ±10%, 25V"
"C64","1.0µF","TopLayer","CAPC1005X04L","8.6000","12.2990","0","Capacitor, Ceramic, X5R, ±10%, 10V"
"C62","100nF","TopLayer","CAPC0603X03L_C","13.8250","17.9740","0","Capacitor, X5R, ±10%, 100nF, 16V"
"C57","10µF","TopLayer","CAPC1608X06L","7.1270","15.5709","270","Capacitor, X7T, ±20%, 10V"
"C54","1.0µF","TopLayer","CAPC1608X06L","7.1270","12.9209","90","Capacitor, Ceramic, 1.0µF 10V X5R 0603,±10%"
"R87","0R","TopLayer","RESC0603X03L_C","12.5373","10.7993","0","Resistor, ±5%, 0.05W"
"C59","10µF","TopLayer","CAPC1608X06L","16.8270","17.9083","90","Capacitor, X7T, ±20%, 10V"
"C56","10µF","TopLayer","CAPC1608X06L","16.8270","15.1709","270","Capacitor, X7T, ±20%, 10V"
"C55","10µF","TopLayer","CAPC1608X06L","16.8270","12.6209","90","Capacitor, X7T, ±20%, 10V"
"C60","10µF","TopLayer","CAPC1608X06L","16.1500","10.6990","180","Capacitor, X7T, ±20%, 10V"
"U9","nPM1300-QEAA","TopLayer","Nordic_QFN50P500X500X90-33N","12.5250","14.1740","180","Li-Ion/Li-Polymer USB-C battery charger with high efficiency buck regulators, LDOs or load switches, LED drivers, TWI and VBUSOUT"
"TP21","Ø1.5mm,SMD","TopLayer","TP_SMD_D1.5mm","19.8500","10.2490","270","1.5mm circular SMD testpad"
"R37","150k","TopLayer","RESC0603X03L_C","10.7689","18.1062","90","Resistor, ±1%, 0.05W"
"R36","47k","TopLayer","RESC0603X03L_C","10.2000","18.0990","90","Resistor, ±1%, 0.05W"
"R84","4k7","TopLayer","RESC0603X03L_C","11.7369","18.2162","90","Resistor, ±1%, 0.05W"
